"Sl. No.","Category","State","Below 14 years - Male","Below 14 years - Female","Below 14 years - Transgender","Below 14 years - Total","14 and Above � Below 18 years - Male","14 and Above � Below 18 years - Female","14 and Above � Below 18 years - Transgender","14 and Above � Below 18 years - Total","18 and Above � Below 30 years - Male","18 and Above � Below 30 years - Female","18 and Above � Below 30 years - Transgender","18 and Above � Below 30 years - Total","30 and Above � Below 45 years - Male","30 and Above � Below 45 years - Female","30 and Above � Below 45 years - Transgender","30 and Above � Below 45 years - Total","45 and Above � Below 60 years - Male","45 and Above � Below 60 years - Female","45 and Above � Below 60 years - Transgender","45 and Above � Below 60 years - Total","60 years & Above - Male","60 years & Above - Female","60 years & Above - Transgender","60 years & Above - Total","Total - Male","Total - Female","Total - Transgender","Total"
,,,,,,,,,,21,82,6,0,88,63,12,0,75,13,2,0,15,11,0,0,11,195,28,0,223
,,,,,,,,,,269,1062,390,1,1453,1883,415,2,2300,2222,459,1,2682,1457,539,1,1997,7118,2195,5,9318
,,,,,,,,,,72,332,63,0,395,526,78,0,604,465,74,0,539,364,84,0,448,1766,335,0,2101
,,,,,,,,,,54,106,27,0,133,213,37,0,250,265,40,0,305,186,43,0,229,808,164,0,972
,,,,,,,,,,221,79,9,0,88,54,5,0,59,2,0,0,2,1,0,0,1,370,28,0,398
,,,,,,,,,,92,597,180,0,777,1208,254,0,1462,1096,279,0,1375,580,217,0,797,3770,1212,0,4982
,,,,,,,,,,60,235,73,0,308,272,46,0,318,168,31,0,199,69,20,0,89,827,202,0,1029
,,,,,,,,,,67,281,92,0,373,234,120,0,354,311,42,0,353,113,17,0,130,1004,288,0,1292
,,,,,,,,,,23,164,14,0,178,104,23,0,127,50,22,0,72,75,31,0,106,417,96,0,513
,,,,,,,,,,4,26,6,0,32,69,9,0,78,25,6,0,31,0,0,0,0,123,22,0,145
,,,,,,,,,,72,447,92,0,539,658,99,0,757,494,60,0,554,180,57,0,237,1893,356,0,2249
,,,,,,,,,,9,77,7,0,84,130,22,0,152,193,42,0,235,149,49,0,198,562,127,0,689
,,,,,,,,,,4,40,7,0,47,47,5,0,52,131,14,0,145,92,35,0,127,319,67,0,386
,,,,,,,,,,3,13,5,0,18,66,17,0,83,25,0,0,25,9,1,0,10,117,23,0,140
,,,,,,,,,,28,150,29,0,179,230,51,0,281,163,23,0,186,78,13,0,91,650,121,0,771
,,,,,,,,,,2,58,13,0,71,39,13,0,52,72,20,0,92,42,19,0,61,212,66,0,278
,,,,,,,,,,44,162,47,0,209,279,53,0,332,223,37,0,260,97,40,0,137,843,226,0,1069
,,,,,,,,,,31,73,21,0,94,155,13,0,168,127,29,0,156,65,18,0,83,452,99,0,551
,,,,,,,,,,34,178,40,0,218,193,30,0,223,120,25,0,145,57,29,0,86,585,139,0,724
,,,,,,,,,,2554,11503,2610,3,14116,15130,2854,4,17988,12587,2296,2,14885,6829,2027,1,8857,49582,11431,10,61023
